1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1763000000 
272. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1601615768 
273. karinPTV  [I love "Lost Colors"]    [タイトーステーション大須店@愛知県@東海] Score: 1601584372 
274. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1599645671 
275. MOYA4  [Sakura God]    [ＡＭスポットドリームス@神奈川県@関東] Score: 1599632341 
276. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1598734765 
277. UsM@cha  [I love リンカ]    [ラウンドワン堺駅前店@大阪府@近畿] Score: 1598069348 
278. CHIK.WAV  [七福神]    [タイトーステーション千歳店@北海道@北海道] Score: 1597870875 
279. E-ZONE  [技名を叫んでから殴る大王]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1596262808 
280. saconimo  [牛乳プリン]    [ラウンドワンさいたま・鴻巣店@埼玉県@関東] Score: 1595382292 
281. SCP  [でんぱ神]    [キャッツアイ篠路店@北海道@北海道] Score: 1594077433 
282. shinobu  [I LOVE EDM]    [プラサカプコン志都呂店@静岡県@東海] Score: 1593829926 
283. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1593593936 
284. FUTAMI.M  [I LOVE DARIUS]    [セガワールド布施@大阪府@近畿] Score: 1593293044 
285. POTETO  [戦車女神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1592650244 
286. Owl.  [うー！がぉー！]    [タイトーイン綾瀬@東京都@関東] Score: 1592566658 
287. KNE.ink*  [でんぱ神]    [タイトーイン綾瀬@東京都@関東] Score: 1592097870 
288. Re:Rinne  [3EX]    [タイトーステーション大須店@愛知県@東海] Score: 1590526284 
289. NORA.inc  [上上下下ABAB]    [セガ松山@愛媛県@四国] Score: 1589771805 
290. W.F.184  [I AM EDM]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1589617258 
291. Alokam  [I love "LIMIT BURST"]    [タイトーステーション浜松店@静岡県@東海] Score: 1588742725 
292. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1586624254 
293. Giraty  [「幼女の世界」]    [タイトーステーション秋葉原店@東京都@関東] Score: 1586297160 
294. IZMISTER  [君にねむきゅんきゅん！]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1586013750 
295. F.Tomo  [彼女とデートなうって使っていいよ。]    [ゲームパドック＋１古河店@茨城県@関東] Score: 1585067708 
296. JACK  [中級者]    [タイトーイン綾瀬@東京都@関東] Score: 1583252958 
297. HERM+G  [彼女とデートなうって使っていいよ。]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1582302206 
298. MAID+3rd  [練習中]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1582286233 
299. CHIRU9  [I love "カンフーガール=ロンメイ"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1581328891 
300. DFMEX  [ルーキー]    [セガ小名浜@福島県@東北] Score: 1581209074 
********************************************************************************************
301. KAGEAKI  [練習中]    [アピナ富山南店@富山県@北陸] Score: 1580945365 
302. MYUT0  [一番星☆☆☆]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1580677403 
303. M4R1S4  [神様の詫び証文]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1580200996 
304. Naoki*  [Crimson Phoenix God]    [ナムコランド広島店@広島県@中国] Score: 1579315532 
305. EB1FLY  [労働反対神]    [ジャムジャムひたちなか本店@茨城県@関東] Score: 1576939339 
306. null_  [BISHOP]    [ラウンドワン高知店@高知県@四国] Score: 1576736317 
307. AINA  [君にねむきゅんきゅん！]    [ゲームコーナー東部@宮城県@東北] Score: 1576607230 
308. sielo89  [CAPTAIN CELEBRATE]    [ラウンドワン佐賀店@佐賀県@九州] Score: 1576303338 
309. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1576138895 
310. HeBi  [蛇神]    [タイトーステーション大宮店@埼玉県@関東] Score: 1575082819 
311. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1574928923 
312. LEO*  [滋賀勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1574300519 
313. Yahiga  [練習中]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1573720423 
314. Remilia  [神話のアマノジャク]    [アピナ鶴岡店@山形県@東北] Score: 1573110347 
315. GFP  [I love Ray series]    [タイトーステーション池袋西口店@東京都@関東] Score: 1573098276 
316. SOUJIROU  [全都道府県完全制覇]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1571817296 
317. PONSYU  [骸骨神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1571795584 
318. Cocoa.*  [HARDCORE SYNDROME]    [ＳＵＰＥＲＷＡＶＥ静岡店@静岡県@東海] Score: 1570948131 
319. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1569493076 
320. IRUKA  [聖徳道士]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1569144972 
321. Shamu  [Nightmare]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1569114185 
322. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1568620573 
323. TSUNAKO.  [URANUS]    [大牟田Ｊ－ＧＡＭＥ@福岡県@九州] Score: 1568332639 
324. hosous  [バハムート]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1567666180 
325. Azure  [DullaQueen]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1564724168 
326. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1564066477 
327. PROCO.Jr  [そんな気分よ女神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1562766540 
328. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1561504761 
329. uit  [I love "Bad Apple!! feat. nomico"]    [セガワールド高山@岐阜県@東海] Score: 1561495296 
330. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1561334960 
331. M  [GROOVER]    [タイトーステーション浜松店@静岡県@東海] Score: 1561080117 
332. FOX186  [バハムート]    [SUPER GENIUS@Taiwan@海外] Score: 1560506269 
333. JACK  [夢に向かって飛び立て！]    [タイトーステーション船橋店@千葉県@関東] Score: 1560015502 
334. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1559595722 
335. SingleE  [不可能へ挑戦し続ける者]    [大宰府Ｊボウル@福岡県@九州] Score: 1558956308 
336. 96r  [宇宙最速]    [ラウンドワン青森店@青森県@東北] Score: 1558567126 
337. tnmgt+@?  [パンプキン神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1553708816 
338. 10-LL*  [神・伍拾弐段]    [メジャーゲーム館@新潟県@信越] Score: 1551357477 
339. LMTAK  [Ever Free King]    [アミューズメントエース市川店@千葉県@関東] Score: 1551197962 
340. Koppe  [サンドリヨンマスター]    [ホムスタ　加古川店@兵庫県@近畿] Score: 1549617499 
341. komachi  [死神]    [タイトーステーション上野アメ横@東京都@関東] Score: 1548739693 
342. Tac  [Reload God]    [ＧＡＭＥ　ＢＡＮＫ　仙台泉店@宮城県@東北] Score: 1548728388 
343. HEI.  [「永夜返し -世明け」]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1548656938 
344. quell  [カワウソに似ててもいいよね？]    [ラウンドワン浜松店@静岡県@東海] Score: 1545846673 
345. R#(9)  [LINK PERFECT]    [ソユーゲームフィールド木更津店@千葉県@関東] Score: 1545460843 
346. UKBEAGLE  [チュルリラ・チュルリラ・マスター]    [タイトーステーション難波店@大阪府@近畿] Score: 1542834868 
347. Dr.X  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1539811942 
348. cbREV.  [第三回天下一音ゲ祭 ファイナリスト]    [タイトーステーション池袋西口店@東京都@関東] Score: 1539420701 
349. GROOVER  [「幼女の世界」]    [TOM'S(TAINAN FOCUS)@Taiwan@海外] Score: 1539293444 
350. Y.Ojisan  [変なTシャツ女神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1536611837 
351. Tetsuuuu  [グルーヴ六千段]    [あそＶＩＶＡ@京都府@近畿] Score: 1535920008 
352. Hoimi*  [みんなの歌姫]    [セガ松江@島根県@中国] Score: 1535842760 
353. shogoDX  [どんつくどんつくどんつくどんつく]    [セガ弘前@青森県@東北] Score: 1534711704 
354. TAPIOCA  [GOD]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1533110293 
355. DEDEDE  [神・伍段]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1532564369 
356. Raijin.  [Crazy ∞ Goddess]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1530434798 
357. HAPPYEXE  [S級織田信長]    [ESLITE WUCHANG@Taiwan@海外] Score: 1530226802 
358. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1527412030 
359. ADORA  [STORM CAUSER]    [楽市楽座イオンモール福岡伊都店@福岡県@九州] Score: 1527128856 
360. MiKUya!?  [シンセサイザ ゴッド]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1526874347 
361. NC_B.RS  [キング・オブ・ナイツ]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1526305197 
362. COACH  [彼女とデートなうって使っていいよ。]    [ラウンドワン札幌白石本通店@北海道@北海道] Score: 1526054465 
363. Wing  [GROOVER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1524730018 
364. HIDE  [I love でんぱ組.inc]    [ジャムジャムひたちなか本店@茨城県@関東] Score: 1522996767 
365. T.naturu  [空想神]    [セガワールド船堀@東京都@関東] Score: 1522861579 
366. jun1<39>  [MikuMikuGod]    [セガイオンタウン金沢示野@石川県@北陸] Score: 1522606020 
367. SIRA_P  [I love 新生『でんぱ組.inc』]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1521996758 
368. DJ+890  [しんどい]    [パルケデアミーゴ！山形店@山形県@東北] Score: 1521281387 
369. Z.F  [THE EMBRYON]    [ユーズランド下田店@青森県@東北] Score: 1520324468 
370. AMANE02  [RinLenGod]    [レジャーランド藤江新館@石川県@北陸] Score: 1518418607 
371. L+Crante  [Ｓ＋級クレープ]    [セガ霞ヶ浦@茨城県@関東] Score: 1518178583 
372. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1517563373 
373. Takam  [ヤタガラス・マスター]    [ジョイランド江守店@福井県@北陸] Score: 1517476378 
374. Yui  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1517435945 
375. orbit  [cyanine god]    [ポート２４八事店@愛知県@東海] Score: 1516815862 
376. KARED  [幽冥楼閣の亡霊少女]    [セガ代々木@東京都@関東] Score: 1516683775 
377. Wokura  [I love ATTACK THE MUSIC]    [EX10(LADPRAO)@Thailand@海外] Score: 1516293406 
378. TKK  [無理]    [キャッツアイ八千代店@千葉県@関東] Score: 1516215985 
379. GACHAPIN  [行脚王]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1515264990 
380. ScarRed  [永遠に紅い幼き月]    [ピンクパンサー日立店@茨城県@関東] Score: 1514195960 
381. KAMI400  [「ちゃんとこっち向いてったら」]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1513918008 
382. Indigo  [上上下下ABAB]    [タイトーステーション大宮店@埼玉県@関東] Score: 1513623851 
383. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1512913948 
384. HIS.  [I love t+pazolite]    [スーパーノバ会津インター店@福島県@東北] Score: 1511973714 
385. AA4X1X0  [夢現神]    [プレイランドキング七条店@京都府@近畿] Score: 1510390246 
386. RedBunny  [幸福理論神]    [CHAMELEON AMUSEMENT(CHIAYI)@Taiwan@海外] Score: 1509840358 
387. Twilight  [四天王奥義「三歩必殺」]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1509515476 
388. reincar.  [SATURN]    [プレイランド長岡店@新潟県@信越] Score: 1506764718 
389. Yize  [＼ﾁｰﾝ／]    [グラントシティ　ＩＮＮ　キスケ@愛媛県@四国] Score: 1506557222 
390. Spica.  [すうぃーと☆ゴッド]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1505485411 
391. tsuccho  [リズム感の神]    [セガ金山@愛知県@東海] Score: 1503975428 
392. SHAM  [メリークルシミマス！]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1502757874 
393. TATHI  [I love "Ψ発見伝！"]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1501380037 
394. L  [バーカバーカ！]    [DINO GAME CENTER(MODE MALL)@Taiwan@海外] Score: 1501161515 
395. BURST=XV  [九尾]    [タイトーステーション所沢店@埼玉県@関東] Score: 1500869784 
396. AMALILLO  [ケルベロス]    [アテナ日本橋@大阪府@近畿] Score: 1499738022 
397. KUROKO  [からかさ神]    [STARMU GAME CENTER@Korea@海外] Score: 1499609661 
398. NMN  [Marry me, King]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1499530098 
399. Pepper  [WARNING!!]    [ドリームファクトリーいわき店@福島県@東北] Score: 1499470240 
400. MORIMORI  [TANO*C MASTER]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1497871736 
********************************************************************************************
401. pata_sir  [全都道府県完全制覇]    [タイトーステーション所沢店@埼玉県@関東] Score: 1496922714 
402. pcfx  [タイトーLOVE]    [タイトーステーション大須店@愛知県@東海] Score: 1495911618 
403. Slug  [うー！がぉー！]    [ステーション２０１@愛知県@東海] Score: 1495189971 
404. UFORANGE  [I love "オレンジ"]    [ピンクパンサー日立店@茨城県@関東] Score: 1494807452 
405. lUY18>>  [Keep the Fujin]    [タイトーステーション柏店@千葉県@関東] Score: 1494730535 
406. NIMR*P  [Ｓ級神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1493737982 
407. Arubada  [インフィニティ先生]    [セガワールド籠原@埼玉県@関東] Score: 1492866470 
408. pr0se  [Black King]    [ROUND1(FOX VALLEY MALL)@America@海外] Score: 1492336923 
409. The+GoD.  [ステルスゴッド]    [プレイタウンパル富士吉田店@山梨県@関東] Score: 1492102368 
410. WAKIDON  [おにぎりむしゃ～り！]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1490987617 
411. NULLPE  [練習中]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1488803174 
412. LoRi  [ヴァンパイア姫]    [ムトス相模原店@神奈川県@関東] Score: 1487874051 
413. Namia@@  [I love "Blue Destiny Blue"]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1486123291 
414. UWAAZ  [不可能を可能にする者]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1486102688 
415. SKULL+  [悪魔の妹]    [アピナ長野川中島店@長野県@信越] Score: 1485489239 
416. BrentBur  [I LOVE 初音ミク]    [ROUND1(MAIN PLACE)@America@海外] Score: 1484830643 
417. YAYOI  [長崎勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1484302067 
418. MATYARYU  [I LOVE 消滅都市]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1483818661 
419. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1483310246 
420. USA33  [HDM KING]    [ラウンドワンららぽーと新三郷店@埼玉県@関東] Score: 1483308284 
421. St.Rhea  [I LOVE ZUNTATA]    [ユーファクトリー安城店@愛知県@東海] Score: 1482202359 
422. Y0M1  [Bad Apple!! Master]    [ＣＬＵＢＳＥＧＡ新杉田@神奈川県@関東] Score: 1480749218 
423. YTwwwwww  [Ψ発見伝！ゴッド]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1480455452 
424. MMM  [タイトーLOVE]    [タイトーステーション和光店@埼玉県@関東] Score: 1479983555 
425. Alice  [死ぬがよい。]    [ラウンドワン伊丹店@兵庫県@近畿] Score: 1479683568 
426. 551  [がんばリンカちゃん！]    [ヒューストン西川口店@埼玉県@関東] Score: 1478994448 
427. MBK-GIL  [隊長さん]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1478936697 
428. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1478592541 
429. 3Ka-LL  [GREAT THING]    [楽市楽座イオンモール宮崎店@宮崎県@九州] Score: 1478468107 
430. CHUNITHM  [第三回天下一音ゲ祭 ファイナリスト]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1477472702 
431. FELT?  [アンノウン・クイーン]    [ＡＭパーク　ネバーランド@神奈川県@関東] Score: 1476891260 
432. Iyse*  [AUG, 2017 TOP RANKER]    [X-LAND(TSUEN WAN)@Hong Kong@海外] Score: 1475181474 
433. (Galax)  [ご覚悟くださいませ☆]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1475143528 
434. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1470627770 
435. 999999  [最終鬼畜兵器]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1469208016 
436. Soahc@NN  [cyanine king]    [セガ東京ドームシティ@東京都@関東] Score: 1468943109 
437. Masa  [治部煮]    [バイパスレジャーランド加賀店@石川県@北陸] Score: 1468765150 
438. kana  [鹿児島勢]    [セガ池袋ギーゴ@東京都@関東] Score: 1467554686 
439. KoNaTwuN  [導きのARIA]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1467145852 
440. HERI  [第四回天下一音ゲ祭 ファイナリスト]    [ラウンドワン八王子店@東京都@関東] Score: 1466679715 
441. K.K-OTL  [がんばリンカちゃん！]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1466309907 
442. On1D40ru  [GROOVER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1464366042 
443. HAIBOCHU  [でんぱ神]    [アピナ松本店@長野県@信越] Score: 1464318301 
444. RYO-RYO-  [エキドナ]    [タイトーステーション池袋西口店@東京都@関東] Score: 1462786708 
445. Parallel  [全国行脚中]    [埼玉レジャーランド川越店@埼玉県@関東] Score: 1462702212 
446. KABUTO  [音魄の使い手]    [ラウンドワン秋田店@秋田県@東北] Score: 1460692175 
447. R230  [日本一周]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1460592266 
448. VOUZZZZZ  [排除する！]    [ラウンドワン浜松店@静岡県@東海] Score: 1459832526 
449. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1459584318 
450. HALUYA  [付喪神]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1459229144 
451. AYATAKA  [バハムート]    [キャッツアイ手稲店@北海道@北海道] Score: 1459175976 
452. UNAGI*  [両生類の神様]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1456812755 
453. WATTA  [四季の最高裁判長]    [タイトーステーション浜松店@静岡県@東海] Score: 1454646321 
454. FAN  [HUNGRY GLUTTONS]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1452659771 
455. Riza.  [名も無い幼い神]    [ＣＬＵＢＳＥＧＡ綱島@神奈川県@関東] Score: 1449549307 
456. arx-8  [ECLIPSES EYE]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1449453536 
457. OKARINA  [夢現神]    [タイトーＦステーション三宮店@兵庫県@近畿] Score: 1448552427 
458. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1448080338 
459. SYANK  [大奇跡「八坂の神風」]    [アピナ鶴岡店@山形県@東北] Score: 1446617144 
460. YURA*ch  [Bad Apple!! King]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1445898426 
461. AZUSA>.<  [星条旗の女王]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1444440399 
462. TYA-HAN  [Ｓ＋級チャーハン]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1444304307 
463. Ralickma  [S級真田信之]    [ジャムジャムつくば店@茨城県@関東] Score: 1443010192 
464. GrizAil  [冬のミクさんマジ天使]    [タイトーステーション立川北口店@東京都@関東] Score: 1442707318 
465. Retsu.  [Ever Free God]    [ドゥーフルズ@東京都@関東] Score: 1442451541 
466. IF  [GROOVER]    [ドリームファクトリーいわき店@福島県@東北] Score: 1442165244 
467. Irem  [超シューティング神]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1442124275 
468. Syuuu!!!  [無理]    [ラウンドワン函館店@北海道@北海道] Score: 1440102707 
469. SiroKuro  [天然ボケ]    [キャロム東大和店@東京都@関東] Score: 1438505144 
470. KU-NERU  [Ｓ＋級パスタ]    [サードプラネット焼津店@静岡県@東海] Score: 1438491727 
471. AKIBOSHI  [ニャスニャス！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1437992663 
472. Toma9/  [無彩色神]    [ラウンドワン千日前店@大阪府@近畿] Score: 1437867697 
473. MANNNNK  [MY FIRST GOD]    [プラボ宇都宮店@栃木県@関東] Score: 1437256190 
474. RI9.  [超COOL!]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1436337889 
475. REN  [Don't stop funky music!]    [ＪＯＹＬＡＮＤ敦賀店@福井県@北陸] Score: 1434081802 
476. KAZ  [ブルードラゴン]    [セガワールド豊科@長野県@信越] Score: 1432495289 
477. COMPILE  [みっくみくにしてやんよ～！]    [セガ松山@愛媛県@四国] Score: 1431962657 
478. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1430508873 
479. ARIKA  [魔界の召喚士]    [タイトーステーション新宿東口店@東京都@関東] Score: 1429877143 
480. SyaLLrip  [ドリームパーティーゴッド]    [楽市楽座行橋店@福岡県@九州] Score: 1429537016 
481. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1428954734 
482. LOTUS  [電脳紀行神]    [セガ今市@栃木県@関東] Score: 1428373679 
483. 03312345  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1428264713 
484. WARLOCK  [羊神]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1426343623 
485. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [セガ池袋ギーゴ@東京都@関東] Score: 1426118906 
486. alhime  [ALERT]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1426111969 
487. BIGBANG  [世界の傍観者]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1425175626 
488. Daizu  [しんどい]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1424111386 
489. KUROGANE  [コカトリス]    [タイトーステーション衣山店@愛媛県@四国] Score: 1421262832 
490. SftCmdQ  [GROOVER]    [タイトーステーション上野アメ横@東京都@関東] Score: 1419023940 
491. Skeleton  [岐阜勢]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1418997592 
492. Jacky  [お断リンカちゃん]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1418759033 
493. FREE  [ユニコーン]    [アピナ松本店@長野県@信越] Score: 1418047223 
494. se@3156  [上上下下ABAB]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1415364706 
495. Siomi  [太陽神]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1412460900 
496. SCP-173  [グルーヴ一万段]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1409645834 
497. Miso  [そーなのかー]    [カプセル永山@東京都@関東] Score: 1409260495 
498. Zing  [Nightmare]    [セガワールド入間@埼玉県@関東] Score: 1408364373 
499. YUSUKE  [死欲の半霊]    [ユーズランド下田店@青森県@東北] Score: 1406811158 
500. CHOMOKO  [金色の異端児]    [タイトーステーション弥富店@愛知県@東海] Score: 1406435262 
********************************************************************************************
501. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1404652842 
502. TeiEnShi  [I LOVE 巡音ルカ 2016]    [ＣＬＵＢＳＥＧＡ綱島@神奈川県@関東] Score: 1404472122 
503. NGGFN  [レンかわいいよレン]    [TOM'S(TAOYUAN FE21)@Taiwan@海外] Score: 1404405670 
504. MALEAIA  [死ぬがよい。]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1403335568 
505. Rz_Ariel  [God hive of Ra]    [タイトーフジグラン北島店@徳島県@四国] Score: 1402095157 
506. Kotori.  [次の曲が始まるのです女神]    [ラウンドワン半田店@愛知県@東海] Score: 1401961642 
507. AZKKR  [No friend god]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1401706846 
508. ROW  [駆け出し]    [ハイテクランドセガ立石@東京都@関東] Score: 1400540013 
509. Lucasha  [韓国勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1399004969 
510. NEB  [眠れる王]    [ソユーゲームフィールド堺鉄砲町@大阪府@近畿] Score: 1398405353 
511. DammK  [ＥＸ級横綱]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1395985140 
512. Kagerou  [わぁーい！]    [プラサカプコン土浦店@茨城県@関東] Score: 1395709328 
513. adaptor  [雷神]    [ラウンドワン朝霞店@埼玉県@関東] Score: 1395587232 
514. LKlet  [HG魔改造ポリビニル神]    [遊スペース　マジカル@兵庫県@近畿] Score: 1395059453 
515. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1393424427 
516. 708  [宮城勢]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1393061032 
517. nakaparu  [ＥＸ級大関]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1392847215 
518. K@RIN*  [にぼし！にぼし！ますたー]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1392797225 
519. kmks  [もしもの神]    [セガ伊勢@三重県@東海] Score: 1392583787 
520. Vtea  [I love "LIMIT BURST"]    [タイトーステーション池袋西口店@東京都@関東] Score: 1391513194 
521. Amakusa  [半人半霊の神]    [スポラ九品寺@熊本県@九州] Score: 1391147338 
522. RE4  [WARNING!!]    [ラウンドワン秋田店@秋田県@東北] Score: 1389750113 
523. 99  [練習中]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1389704036 
524. HaZaMa  [重低音モンスター]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1388817312 
525. BLAZE  [ソウルメイト]    [ラウンドワン高知店@高知県@四国] Score: 1385882529 
526. Mlt-Hyk.  [厄神様]    [ナムコランド広島店@広島県@中国] Score: 1384999201 
527. OO568  [エストポリス神]    [ラウンドワン郡山店@福島県@東北] Score: 1384494407 
528. RON-G  [I love "ナイト・オブ・ナイツ"]    [ＧＡＭＥ　ｅｐｒｉｓ@宮城県@東北] Score: 1382802322 
529. K2D6  [S級石田三成]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1382687379 
530. Rerugan  [cyanine god]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1382078836 
531. mdr  [I love Ray series]    [ピンクパンサー日立店@茨城県@関東] Score: 1381832585 
532. Marg  [ハヤブサ]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1381688319 
533. Rainie02  [PRINCESS]    [アテナ日本橋@大阪府@近畿] Score: 1380999427 
534. BBC  [GROOVER]    [アドアーズ橋本@神奈川県@関東] Score: 1380955906 
535. **85**  [台湾勢]    [テクモピア伊丹店@兵庫県@近畿] Score: 1379817825 
536. DEF  [GROOVER]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1378554885 
537. PRESTIGE  [VENUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1377468479 
538. SnowWeln  [Starlight Road God]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1375878552 
