810. igohs88  [救世主]    [セガ赤羽@東京都@関東] Score: 1169711807 
811. NANAMI  [I love "The world of spirit"]    [ラウンドワン高知店@高知県@四国] Score: 1169708793 
812. YAIBA  [不可能へ挑戦する者]    [セガららぽーとＴＯＫＹＯＢＡＹ@千葉県@関東] Score: 1168417259 
813. *P*R*P*  [S+級ゆきだるま]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1168384842 
814. KARAMAKI  [わーい！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1168075121 
815. MG*MOTHI  [魔法少女神]    [ラウンドワン浜大津アーカス店@滋賀県@近畿] Score: 1167932543 
816. DIKA  [Ｓ＋級うどん]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1167834593 
817. GXE10  [死欲の半霊]    [タイトーＦステーション小山店@栃木県@関東] Score: 1167533959 
818. pt*fl153  [ダウザーの小さな大将]    [ジャムジャムつくば店@茨城県@関東] Score: 1167497588 
819. subtle_k  [VKL5.03]    [タイトーステーション池袋西口店@東京都@関東] Score: 1166503634 
820. zinchan  [天馬と奏でる音楽家]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1166464795 
821. E-Z1  [I love t+pazolite]    [ＡＭスポットドリームス@神奈川県@関東] Score: 1166107134 
822. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1165619519 
823. DDR!?  [Sampling Masters]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1165505736 
824. SAY-YEAH  [I love DJ MURASAME]    [タイトーステーション新宿東口店@東京都@関東] Score: 1164850122 
825. MOCH  [ウミユリ神]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1164449121 
826. Anon  [永遠の巫女]    [アムネット五反田店@東京都@関東] Score: 1163988600 
827. cuberick  [練習中]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1163911510 
828. Mr.Z  [FEVER]    [EX10(MBK)@Thailand@海外] Score: 1163776749 
829. Toaru  [＼ﾁｰﾝ／]    [アピナ鶴岡店@山形県@東北] Score: 1163397684 
830. KA-NI-EX  [Are you ready?]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1163079116 
831. FMNR  [ふたつのARIA]    [パルケデアミーゴ！山形店@山形県@東北] Score: 1162767774 
832. NEGIGAMO  [Shadow God]    [セガ幕張@千葉県@関東] Score: 1162732705 
833. Lilium.L  [うー！がぉー！]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1162182680 
834. Kaonori  [アバターマニア]    [アテナ日本橋@大阪府@近畿] Score: 1162052537 
835. KEY.MA  [甘い甘い先生]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1162005461 
836. HALKEN  [I love 暁月]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1161554275 
837. JACK*  [裏天帝]    [ギガゾーン広島駅前店@広島県@中国] Score: 1161182297 
838. TATAZUN  [山口勢]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1160656892 
839. Mary*  [たのしー！]    [ラウンドワン梅田店@大阪府@近畿] Score: 1160088037 
840. mow*2  [Are you ready?]    [ARCADE1@Korea@海外] Score: 1159917580 
841. shimochi  [普通の高校生]    [タイトーステーション町田店@東京都@関東] Score: 1159421368 
842. Naru  [毘沙門天の弟子]    [セガワールド草津@滋賀県@近畿] Score: 1159193561 
843. BUUBEE  [ドーモ、グルーヴァー=サン…]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1157136107 
844. jin  [会いたい神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1156224950 
845. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1155282050 
846. Omeme8e  [萌えキュンソングを世界にお届け！]    [セガ小名浜@福島県@東北] Score: 1155029074 
847. Retoree  [あたいったら最強ね！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1154970271 
848. Chocola  [絶望ゴッド]    [カプセル永山@東京都@関東] Score: 1154013510 
849. Anzu.F  [EXTREME]    [セガ秋葉原@東京都@関東] Score: 1151230113 
850. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1150518966 
851. +HiRO+  [S+級バナナ]    [タイトーステーション大宮店@埼玉県@関東] Score: 1150359705 
852. Jun0009  [腹ぺこ]    [タイトーステーション池袋西口店@東京都@関東] Score: 1150122782 
853. tsuok  [七転八起]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1149310230 
854. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1148219664 
855. Raji  [CERAMIC GOD]    [ゲームパドック＋１古河店@茨城県@関東] Score: 1148161119 
856. TAYYO+DP  [I love Xenoa]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1147700874 
857. _ABYSS  [小槌「大きくなあれ」]    [鉄腕２４　稲毛長沼店@千葉県@関東] Score: 1146893342 
858. Riznia  [Extra God]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1146889919 
859. 23V-Bel  [イノベーター]    [セガ秋葉原@東京都@関東] Score: 1145335799 
860. KiS@Me  [OMAKENO Kamisama]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1145297725 
861. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1143917146 
862. Alice?  [I love Xenoa]    [セガ水戸@茨城県@関東] Score: 1143208038 
863. Jindai  [God hive of Ra]    [タイトーステーション池袋西口店@東京都@関東] Score: 1141856806 
864. Astral  [Z神]    [セガ金山@愛知県@東海] Score: 1141419014 
865. BOLUX  [つらい]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1140803616 
866. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1140713823 
867. FeeT  [I love "バーニングフォースメドレー"]    [メジャーゲーム館@新潟県@信越] Score: 1139933165 
868. SAKU*  [ouroboros god]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1138407557 
869. NYANYA  [大金持ち]    [マックスプラザ善通寺@香川県@四国] Score: 1137705236 
870. FUKUOKA3  [千葉勢]    [セガ我孫子@千葉県@関東] Score: 1137570117 
871. himiya  [シンドイ・ザ・クイーン]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1137487473 
872. Un<hiKng  [クロビってる？]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1137443030 
873. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1136972326 
874. Taku_N.  [GROOVER]    [ユーファクトリー安城店@愛知県@東海] Score: 1135989798 
875. Kanon  [練習中]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1135979071 
876. ZOMBIE  [「誰も知らない おとぎばなし」]    [ゲームスポットＳＰＥＥＤ@山口県@中国] Score: 1135120418 
877. Re:Clear  [世界の傍観者]    [タイトーステーション町田店@東京都@関東] Score: 1135114556 
878. OCHA  [駆け出し]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1134925193 
879. LDT-Cus  [遠征]    [TOM'S(YILAN MINSHENG)@Taiwan@海外] Score: 1134728221 
880. TenCha  [イノベーター]    [ゲームランド盛岡店@岩手県@東北] Score: 1134609752 
881. Re.Vive*  [Satisfiction God]    [アピナ松本店@長野県@信越] Score: 1133440491 
882. DOSAN*  [初PERFECT]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1133246904 
883. PLeiaDes  [God noir forever.]    [ラウンドワン豊中店@大阪府@近畿] Score: 1132928065 
884. *SHEEP*  [十二宗家]    [プラサカプコン志都呂店@静岡県@東海] Score: 1132785565 
885. Ohyang  [宮城勢]    [ビーカム成沢店@山形県@東北] Score: 1132561339 
886. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
887. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1131442822 
888. TAKE  [magnet god]    [ＡＭフィールド・バイヨン@埼玉県@関東] Score: 1131285332 
889. KEISUKE  [グルーヴ皆伝]    [ＹＡＺワールド四日市店@三重県@東海] Score: 1130357832 
890. SUTORES*  [下剋上]    [セガワールド草津@滋賀県@近畿] Score: 1130280045 
891. Z*  [風林火山]    [タイトーステーション秋葉原店@東京都@関東] Score: 1129623841 
892. asa  [3EX]    [タイトーステーション新宿東口店@東京都@関東] Score: 1129108951 
893. LagLarge  [I love "そして誰もいなくなった"]    [ＴＦＳイオンモール浜松市野店@静岡県@東海] Score: 1128625886 
894. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1128037353 
895. URYU  [全都道府県グルメ完食]    [タイトーステーション和光店@埼玉県@関東] Score: 1127652204 
896. Yorda  [無名の神]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1125529929 
897. Syobole.  [普通の高校生]    [レジャーランド藤江新館@石川県@北陸] Score: 1123817557 
898. GENE  [初代A CLASS]    [スーパーノバ会津インター店@福島県@東北] Score: 1123701581 
899. PON-05  [GROOVER]    [沼津バッティングスタジアム@静岡県@東海] Score: 1123653729 
900. KAS  [GAME MUSIC TRIANGLER]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1123107331 
********************************************************************************************
901. today  [宮城勢]    [ゲームパニック三郷@埼玉県@関東] Score: 1121435534 
902. Akatsuki  [第四ノ封印ヲ解放セシ者]    [TOM'S(TAINAN FOCUS)@Taiwan@海外] Score: 1121393231 
903. NEIL  [初代☆]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1121386752 
904. DC  [ペガサス]    [タイトーステーション和光店@埼玉県@関東] Score: 1119793898 
905. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
906. Bakkun  [つらい]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1117518278 
907. NAYU  [TANO*C GOD]    [タイトーステーション船橋店@千葉県@関東] Score: 1116976475 
908. NEXUS  [ダイオウ松]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1116163015 
909. pns  [FEVER! FEVER! FEVER!]    [タイトーステーション上野アメ横@東京都@関東] Score: 1115222745 
910. JUNSPEC  [しんどい]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1114599741 
911. OMKG_!?  [嗚呼、素晴らしき神]    [ナムコランド広島店@広島県@中国] Score: 1114102268 
912. Nonnnn**  [星条旗の女神]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1114064769 
913. taku  [わぁい先生大好き]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1113977593 
914. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1113482478 
915. ASA.G.  [すっごーい！]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1113454815 
916. CANBIN  [magnet master]    [タイトーステーション池袋西口店@東京都@関東] Score: 1113389771 
917. AXue  [GROOVER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1111979284 
918. gatta  [小さな百鬼夜行]    [カプコサーカス新潟東店@新潟県@信越] Score: 1111885957 
919. Ratikal  [I love STG]    [ROUND1(SILVER CITY GALLERIA)@America@海外] Score: 1111747459 
920. SRH  [I love "議論 -HEAT UP-"]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1111368361 
921. G8.inc  [練習中]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1111232778 
922. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1110832136 
923. Galatea.  [Ever…]    [ジャムジャム神栖店@茨城県@関東] Score: 1109427745 
924. RBA@7777  [歌って踊れるゲーマーアイドル]    [タイトーステーション大宮店@埼玉県@関東] Score: 1108916729 
925. JOKER  [夢の支配者]    [カプコンＭＡＲＫ　ＩＳ静岡店@静岡県@東海] Score: 1108880975 
926. ELEMENT!  [Ｓ級ロキ]    [AMAZONE(ARTHA GADING)@Indonesia@海外] Score: 1108379744 
927. C*Crow:S  [息吹神]    [セガ岡崎@愛知県@東海] Score: 1107904936 
928. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1107772498 
929. SHUNSEI  [妹様]    [ラッキー木更津店@千葉県@関東] Score: 1107388993 
930. HAYASHI  [神奈川勢]    [タイトーステーション秋葉原店@東京都@関東] Score: 1107280499 
931. KUSINADA  [God noir forever.]    [楽市楽座黒崎店@福岡県@九州] Score: 1105034905 
932. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1104642479 
933. KAZjarku  [「叫べ 叫べ 遠くへ」]    [ユーズランド高崎店@群馬県@関東] Score: 1104538993 
934. Radait  [「燃やせ 燃やせ その心を」]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1103823786 
935. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1102914830 
936. BAviiiso  [GROOVER]    [ラウンドワン松山店@愛媛県@四国] Score: 1102559322 
937. TAKANASI  [真・千億段]    [ラウンドワン佐賀店@佐賀県@九州] Score: 1102513294 
938. Keturin@  [破壊王]    [ＣＬＵＢＳＥＧＡ姫路ＯＳ@兵庫県@近畿] Score: 1101234622 
939. fk  [村人A]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1101215928 
940. CHAOS  [Chaos God]    [プレイロットジョイ@東京都@関東] Score: 1100705045 
941. MoyaC.  [世界で一番宇宙で銀河]    [ギャラクシーゲート函館@北海道@北海道] Score: 1100109720 
942. Fyei  [完璧系女子]    [Ｈｅｙ@東京都@関東] Score: 1100074499 
943. NAO(*_*)  [リズム感の神]    [タイトーＦＳセントポルタ大分店@大分県@九州] Score: 1099706887 
944. 1221  [NOURISHMENT CELEBRATE]    [セガワールドＭＥＧＡ@広島県@中国] Score: 1099644195 
945. SAKI  [神霊「夢想封印 瞬」]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1099385919 
946. *SOHI***  [真・一級]    [ゲームフェスタミタマ@青森県@東北] Score: 1098720194 
947. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
948. Al  [GHOST]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1098449014 
949. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1098325830 
950. recca#10  [PaⅢ.KING]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1098041159 
951. Mo  [噂の美少女探偵]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1097674435 
952. Foxy  [ワーウルフ]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1097580687 
953. LAIRAI,  [次の曲が始まるのです女神]    [ＧＡＭＥ　ＰＡＮＩＣ京都@京都府@近畿] Score: 1097165710 
954. Quartet  [年中イキっていこう～]    [スポラ九品寺@熊本県@九州] Score: 1096377267 
955. S.Osiris  [恋愛神]    [Ｈｅｙ@東京都@関東] Score: 1095133907 
956. K.456  [Collapse God]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1093888435 
957. Gemma  [JUPITER]    [半田メトロポリス@愛知県@東海] Score: 1093552888 
958. VELGR  [そーなのかー]    [セガ秋葉原@東京都@関東] Score: 1092591403 
959. RAK  [「誰も知らない おとぎばなし」]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1092461583 
960. Chaz  [「サブタレイニアンローズ」]    [ROUND1(GRAPEVINE MILLS)@America@海外] Score: 1091882579 
961. DJGEN115  [つらい]    [セガ安城@愛知県@東海] Score: 1091857652 
962. TERUMI_K  [I love "Satisfiction (Massive New Krew Remix)"]    [セガ明石@兵庫県@近畿] Score: 1091702988 
963. Snail  [キャッチ・ザ・ハート]    [ピンクパンサー那珂店@茨城県@関東] Score: 1091648046 
964. A-Y.s9  [カノン ゴッド]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1090672802 
965. sousetsu  [議論神]    [セガ小名浜@福島県@東北] Score: 1090612096 
966. KaraKure  [I love Xenoa]    [セガワールド宇都宮@栃木県@関東] Score: 1090486121 
967. HPGVR3EX  [I love Xenoa]    [ATTACK GAME CENTER@Korea@海外] Score: 1090320982 
968. AIRIN  [楽園の巫女]    [遊スペース　マジカル@兵庫県@近畿] Score: 1089704878 
969. GCthlv  [HONEY SUNRiSE GODDESS]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1089641492 
970. N@  [I love "東方音銃夢"]    [プレイロットジョイ@東京都@関東] Score: 1089577152 
971. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1088880857 
972. WINGS  [救世主]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1088249072 
973. Madras  [つらい]    [セガワールド布施@大阪府@近畿] Score: 1088100021 
974. TOBINE  [漆黒の堕天使]    [アミパラ丸亀店@香川県@四国] Score: 1083744759 
975. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1082290316 
976. TeRA  [つらい]    [ホムスタ　加古川店@兵庫県@近畿] Score: 1081274901 
977. MATCHAN  [GROOVER]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1080108200 
978. 39COSAV  [S+級長ネギ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1079984200 
979. APO  [ダンシング☆カミサマ]    [テクモピアインターパーク店@栃木県@関東] Score: 1079861805 
980. Tyrfing  [しんどい]    [タイトーステーション新宿東口店@東京都@関東] Score: 1079702009 
981. YUJI57  [金色の異端児]    [ラウンドワン仙台苦竹店@宮城県@東北] Score: 1077094249 
982. T-s.1225  [死神]    [COBAY MINES@Malaysia@海外] Score: 1075961972 
983. Yufuwin  [ピュアスマイル]    [トライセン中津店@大分県@九州] Score: 1075370915 
984. Y.  [正義のおちゃらけガール]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1074201101 
985. JLCExCBY  [店内F CLASS]    [AMAZONE(ARTHA GADING)@Indonesia@海外] Score: 1074180398 
986. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
987. EIDAN9  [Fess up神]    [タイトーステーション柏店@千葉県@関東] Score: 1072769240 
988. K@NiDON  [WARNING!!]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1071818917 
989. (ELSIE)  [I love ONE 2016]    [ラウンドワン大宮店@埼玉県@関東] Score: 1069976919 
990. CPA.  [デュラハン]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1069905326 
991. Kaze!?  [清らかな女神]    [アテナ日本橋@大阪府@近畿] Score: 1068999443 
992. Ta@-KO  [Ｓ＋級ラーメン]    [ＧＡＭＥピーアーク青井@東京都@関東] Score: 1068812801 
993. #bu  [初PERFECT]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1068764130 
994. HAURA  [グルーヴ皆伝]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1068756135 
995. Rk*2B!_K  [しんどい]    [アミパラ加古川店@兵庫県@近畿] Score: 1068652101 
996. NAO  [駆け出し]    [ゲームランド（岡崎）@愛知県@東海] Score: 1067801714 
997. S@KRAMnT  [真・一億段]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1067696731 
998. soRa  [G.O.D]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1067337178 
999. WhiteLen  [ペガサス]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1067268799 
1000. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1067123572 
********************************************************************************************
